step,avg_sinr,total_throughput,handover_count,coverage,regret,avg_load,cell_edge_rate,outage_prob,pingpong_rate,drone_handover_reduction,drone_positions,drone_rewards,avg_battery_pct,drones_active,drones_charging,drones_rtb,total_energy_consumed_wh,fleet_efficiency
0,26.23019817494782,356171.5863997426,0,82.66666666666667,0.0,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(634.6456020720809), np.float64(1752.7210721969907), np.float64(93.05007482408874)), (np.float64(2511.7545322283963), np.float64(2386.335979685129), np.float64(93.29475429397773)), (np.float64(732.1881640454953), np.float64(1933.5562672366873), np.float64(54.57953275160465)), (np.float64(1735.8916984508555), np.float64(457.9613396284908), np.float64(133.02924863158094)), (np.float64(732.7931026537341), np.float64(1196.6392981594092), np.float64(141.3736468114775)), (np.float64(971.2451577608781), np.float64(615.6586578489013), np.float64(134.18447490772104))]",0.0,0.8677712123187309,6,0,0,1.391128230256574,71.11964923568463
1,25.177333836709533,135607.65672538464,0,80.66666666666666,220.9639296743577,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(633.1735596342543), np.float64(1750.4559344850556), np.float64(91.9292188051532)), (np.float64(2508.429976607532), np.float64(2386.195710347352), np.float64(89.76929932142265)), (np.float64(732.835879354874), np.float64(1933.6058254167392), np.float64(57.34928572195444)), (np.float64(1735.0524792183576), np.float64(454.39185075263765), np.float64(133.46972171168494)), (np.float64(731.8811686382055), np.float64(1198.036843517568), np.float64(139.61450406086237)), (np.float64(971.2928232964575), np.float64(616.0597948981034), np.float64(134.3744781042938))]",0.0,0.8673104454028363,6,0,0,1.3823007476832896,27.25079444394519
2,25.42090436053316,173909.04701610166,0,81.33333333333333,403.5264690579987,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(633.9258330905617), np.float64(1750.3480303683323), np.float64(91.09040974948421)), (np.float64(2503.098747609419), np.float64(2386.590478241067), np.float64(86.97352951662259)), (np.float64(732.9113816139328), np.float64(1935.216762656192), np.float64(56.11153858357462)), (np.float64(1735.9528065756576), np.float64(456.42050829950875), np.float64(131.94780524750672)), (np.float64(726.5502146257392), np.float64(1197.4749272679478), np.float64(140.34522194373258)), (np.float64(972.7451703748611), np.float64(615.6259074639484), np.float64(137.4729117850532))]",0.0,0.8668482639520619,6,0,0,1.3865443523237482,34.840622685183476
3,25.345927440300752,81404.48532617137,0,80.33333333333333,678.5935701315697,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(631.3460365207233), np.float64(1750.6279817143825), np.float64(90.51114200039352)), (np.float64(2500.881531410556), np.float64(2386.372335442144), np.float64(85.89399586974244)), (np.float64(731.6208726577046), np.float64(1932.8024603520619), np.float64(57.527897082926714)), (np.float64(1734.1225848116253), np.float64(456.0874717077713), np.float64(133.87490025602236)), (np.float64(723.2141451084079), np.float64(1195.453568350514), np.float64(140.06598365332135)), (np.float64(970.2391020177267), np.float64(614.8353902446903), np.float64(136.3814462757306))]",0.0,0.8663881054050776,6,0,0,1.3804756409528198,16.380120274661493
4,24.969885975186298,94006.44338411927,0,80.66666666666666,941.2087131471927,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(633.6055034240254), np.float64(1750.2640737725674), np.float64(90.4652756733322)), (np.float64(2497.88687757284), np.float64(2386.1965821528424), np.float64(85.58680724089221)), (np.float64(730.8978154492569), np.float64(1930.3425346512101), np.float64(57.331996996129256)), (np.float64(1735.5291091424199), np.float64(457.4154478981953), np.float64(132.25209491351401)), (np.float64(723.9362447603049), np.float64(1194.7337680987287), np.float64(140.61974316064143)), (np.float64(971.0822217512758), np.float64(616.3575358430054), np.float64(134.1735051555542))]",0.0,0.8659295585084555,6,0,0,1.375640689865821,18.982355736060818
5,22.944734507221593,132724.08402219386,246,76.66666666666667,1185.9562155247413,10.0,6.493840615192045,0.0,121.13821138211382,0.0,"[(np.float64(631.8961079622887), np.float64(1748.2039827774515), np.float64(89.95177382503479)), (np.float64(2495.937565654282), np.float64(2388.181867732274), np.float64(81.5587939743902)), (np.float64(727.7800942816109), np.float64(1930.1650668013954), np.float64(55.657808483771575)), (np.float64(1736.5318482666794), np.float64(457.2689805675711), np.float64(132.92485118236704)), (np.float64(725.0751963733071), np.float64(1196.474200957833), np.float64(141.39693876930906)), (np.float64(971.1631640562796), np.float64(618.6472539009865), np.float64(138.66953449764793))]",0.0,0.8654672707340865,6,0,0,1.3868633231078222,26.583586502712475
6,22.6277483704734,161516.78499083125,3,76.0,1382.2610169336526,10.0,6.493840615192045,0.0,200.0,0.0,"[(np.float64(629.024850485495), np.float64(1747.1858673099798), np.float64(89.39782555479522)), (np.float64(2496.5498402144963), np.float64(2387.0893389772064), np.float64(83.90874429717802)), (np.float64(728.6757070109103), np.float64(1929.7144489773796), np.float64(53.951444476477306)), (np.float64(1738.024046084055), np.float64(455.6475895868021), np.float64(134.09773661194328)), (np.float64(724.9527001173302), np.float64(1199.8865251507711), np.float64(142.6692750143697)), (np.float64(971.9748790107316), np.float64(619.7732522493263), np.float64(136.1285573739945))]",0.0,0.8650066313901603,6,0,0,1.3819180317782662,32.466305943508466
7,22.657939042289296,110656.68863780306,3,76.66666666666667,1629.375914695592,10.0,6.493840615192045,0.0,200.0,0.0,"[(np.float64(632.7946934571341), np.float64(1745.4109701072553), np.float64(91.53083396822825)), (np.float64(2497.9868994316053), np.float64(2387.955103226917), np.float64(84.31055670813006)), (np.float64(726.562714572575), np.float64(1929.8641283595132), np.float64(56.52738933149563)), (np.float64(1740.1195064250144), np.float64(455.34919268075316), np.float64(132.7145294382698)), (np.float64(728.207779653923), np.float64(1200.5039180265867), np.float64(144.44537229457273)), (np.float64(971.0307314547294), np.float64(621.9817477946597), np.float64(134.60251528243745))]",0.0,0.8645449310641616,6,0,0,1.3851009779959464,22.191861499173932
8,22.74624434771228,200348.18316044734,5,75.66666666666667,1786.9493179348874,10.0,6.493840615192045,0.0,200.0,0.0,"[(np.float64(634.5949367326092), np.float64(1748.6079578882202), np.float64(91.35742457774691)), (np.float64(2500.820255449274), np.float64(2387.2616688793946), np.float64(84.11685906572376)), (np.float64(726.3227076720793), np.float64(1931.7854337897452), np.float64(51.73359241977542)), (np.float64(1737.8838173888792), np.float64(455.32847806149965), np.float64(134.093384716024)), (np.float64(727.3284895386222), np.float64(1201.641291619413), np.float64(145.08463734181828)), (np.float64(971.1161699613082), np.float64(623.0333771338821), np.float64(134.60608577311763))]",0.0,0.8640851472533874,6,0,0,1.3793514323229035,40.34669613269099
9,22.97862929821036,117621.35864507845,12,77.33333333333333,2027.6495456895514,10.0,6.493840615192045,0.0,0.0,0.0,"[(np.float64(635.4718228177283), np.float64(1749.0332339252284), np.float64(92.07070382309296)), (np.float64(2499.047613983078), np.float64(2388.2422698127534), np.float64(81.66160227404266)), (np.float64(727.5845800122008), np.float64(1929.059059708394), np.float64(51.12341937496914)), (np.float64(1737.8888597920807), np.float64(454.69864301716393), np.float64(133.4613885061301)), (np.float64(725.1731241022791), np.float64(1207.25343563854), np.float64(144.6200628967876)), (np.float64(969.3289524466469), np.float64(621.6632397625599), np.float64(138.0096725593831))]",0.0,0.8636243982672026,6,0,0,1.382246958554154,23.637309831962888
