step,avg_sinr,total_throughput,handover_count,coverage,regret,avg_load,cell_edge_rate,outage_prob,pingpong_rate,drone_handover_reduction,drone_positions,drone_rewards,avg_battery_pct,drones_active,drones_charging,drones_rtb,total_energy_consumed_wh,fleet_efficiency
0,26.761099910795213,1964101.8002869918,0,86.0,-1825.8018002870108,10.0,1162.7204480216044,0.0,0,0.0,"[(np.float64(585.1269312573494), np.float64(977.8386853128071), np.float64(104.0795067127575)), (np.float64(2364.4891076305857), np.float64(473.4240506671029), np.float64(87.9093523206276)), (np.float64(868.6744225779696), np.float64(2320.257560137514), np.float64(82.9843524917417)), (np.float64(2548.705836338279), np.float64(1847.6522151809975), np.float64(117.22768887177278)), (np.float64(1143.4653317388857), np.float64(2267.043848255627), np.float64(97.99089936244991)), (np.float64(2348.577732423803), np.float64(552.8507155687448), np.float64(81.90724766773211))]",0.0,0.8395395442796945,6,0,0,1.3920014200825201,391.9420092119663
1,26.761523396927135,1964416.8038903838,0,86.0,-3651.918604177413,10.0,1162.7204480216044,0.0,0,0.0,"[(np.float64(586.634502218226), np.float64(980.8278146610489), np.float64(100.58384014712307)), (np.float64(2361.5418245155797), np.float64(465.311054447069), np.float64(89.3360833636916)), (np.float64(869.0305906146389), np.float64(2329.6747817579385), np.float64(84.64913913949613)), (np.float64(2553.3730893038883), np.float64(1851.0500680745274), np.float64(120.07013206916972)), (np.float64(1143.3249027416316), np.float64(2261.4868976425732), np.float64(101.66923136992398)), (np.float64(2349.8809196122315), np.float64(545.2463177875505), np.float64(79.90230500522833))]",0.0,0.8390685335181436,6,0,0,1.4130322846527141,386.17046499267144
2,26.761016919296274,1964433.0547514972,0,86.0,-5478.051658928929,10.0,1162.7204480216044,0.0,0,0.0,"[(np.float64(584.1750160729035), np.float64(986.134927745981), np.float64(92.78604199626734)), (np.float64(2364.4547985769573), np.float64(467.8855596889911), np.float64(97.87605748067459)), (np.float64(868.4285378984724), np.float64(2332.9374714589167), np.float64(84.06679630343434)), (np.float64(2556.7254888210146), np.float64(1856.3451651396495), np.float64(118.98586731872456)), (np.float64(1141.3631053580195), np.float64(2261.682899112581), np.float64(95.43703519730471)), (np.float64(2345.5653503796016), np.float64(544.1900567243383), np.float64(85.6048224927304))]",0.0,0.8385947460705987,6,0,0,1.4213623426348585,383.9104443491396
3,26.761621243276636,1964735.9354568701,0,86.0,-7304.487594385817,10.0,1162.7204480216044,0.0,0,0.0,"[(np.float64(588.7468299548337), np.float64(986.6455831665025), np.float64(98.59243277590392)), (np.float64(2367.011141414187), np.float64(479.0335403534348), np.float64(89.3828936768913)), (np.float64(868.5406676038391), np.float64(2332.5864573751073), np.float64(74.4329334899223)), (np.float64(2551.575441675419), np.float64(1848.6983707256518), np.float64(110.169509120868)), (np.float64(1143.8069923851212), np.float64(2267.0502414986754), np.float64(94.31623649983106)), (np.float64(2355.759200854866), np.float64(543.1967997964312), np.float64(82.79236883374148))]",0.0,0.8381133840005893,6,0,0,1.4440862100278553,377.9275629678823
4,26.763222252293545,1965265.6953437622,0,86.33333333333333,-9131.453289729596,10.0,1162.7204480216044,0.0,0,0.0,"[(np.float64(591.7433536144237), np.float64(995.7711978376894), np.float64(93.06152877948283)), (np.float64(2363.0507671905148), np.float64(482.9338417949941), np.float64(81.57660414463643)), (np.float64(862.3171995426683), np.float64(2335.065414709928), np.float64(77.19680655959287)), (np.float64(2548.9564167488925), np.float64(1847.9416137069693), np.float64(104.0188453258303)), (np.float64(1144.361170134855), np.float64(2260.1507388123873), np.float64(103.32498472584594)), (np.float64(2345.752959797345), np.float64(542.0619462542786), np.float64(80.20056654139621))]",0.0,0.8376333836513584,6,0,0,1.44000104769321,379.10190306458315
5,26.078918191506784,2209218.9742046893,220,86.0,-11181.022263934281,10.0,687.5176187496751,0.0,109.09090909090908,0.0,"[(np.float64(589.055648467103), np.float64(998.5983746742355), np.float64(93.12713834653499)), (np.float64(2361.5443100530442), np.float64(482.5058640673633), np.float64(80.42090455054792)), (np.float64(870.4303661287508), np.float64(2337.3848793410684), np.float64(81.74657420153618)), (np.float64(2555.628479875746), np.float64(1848.2730514122327), np.float64(101.67137699674838)), (np.float64(1147.5649933553166), np.float64(2259.345693059685), np.float64(107.84994661282609)), (np.float64(2349.212264245861), np.float64(539.2109024345793), np.float64(83.27596574868954))]",0.0,0.8371654475967848,6,0,0,1.4038081637203184,437.1480043631821
6,26.082940886867195,2210046.138419264,1,86.0,-13252.41840235354,10.0,687.5176187496751,0.0,200.0,0.0,"[(np.float64(586.6533130207528), np.float64(999.0863272593426), np.float64(90.93933716767225)), (np.float64(2372.0552212919843), np.float64(470.9559018210582), np.float64(84.27824527152693)), (np.float64(869.151218953875), np.float64(2333.881492479803), np.float64(80.86942190320933)), (np.float64(2552.1891397615423), np.float64(1848.3522864884878), np.float64(99.62232344749837)), (np.float64(1145.1850013281555), np.float64(2249.9286410499217), np.float64(107.01289640755418)), (np.float64(2340.482001310823), np.float64(540.2813166231045), np.float64(72.84736545191294))]",0.0,0.8366911489720574,6,0,0,1.4228958741825708,431.4452773778251
7,26.243844121492074,2269178.9793883758,2,86.33333333333333,-15382.997381741898,10.0,687.5176187496751,0.0,200.0,0.0,"[(np.float64(584.4374703998178), np.float64(1009.2140218528691), np.float64(75.93933716767225)), (np.float64(2376.579787596615), np.float64(475.291874008033), np.float64(77.5063541251452)), (np.float64(857.806935322384), np.float64(2329.4906250675676), np.float64(81.65617443369045)), (np.float64(2555.7976827661364), np.float64(1848.2496554682884), np.float64(93.74838699242287)), (np.float64(1147.8512681699854), np.float64(2260.7425310030753), np.float64(99.30117439433037)), (np.float64(2339.7924378143834), np.float64(539.8307943908003), np.float64(70.78345345621456))]",0.0,0.836208357246471,6,0,0,1.4483751767589934,435.1962836625126
8,26.244694988085293,2269645.4254586254,0,86.33333333333333,-17514.042807200505,10.0,687.5176187496751,0.0,0,0.0,"[(np.float64(582.7463012170267), np.float64(1012.9136742871598), np.float64(75.51123591298179)), (np.float64(2372.0534620828917), np.float64(468.67350606186767), np.float64(77.39028878314588)), (np.float64(859.9900597810375), np.float64(2339.3912359876563), np.float64(81.08963714370498)), (np.float64(2552.9738515822887), np.float64(1848.8460563041817), np.float64(89.06460339213757)), (np.float64(1144.7135963791452), np.float64(2257.0097493215235), np.float64(88.69818111493902)), (np.float64(2336.51935264664), np.float64(539.9160701263619), np.float64(75.79462639421371))]",0.0,0.8357364288622104,6,0,0,1.4157851527820142,445.30560402371043
9,26.28354665154368,2276628.6942514507,1,86.66666666666667,-19652.071501451937,10.0,687.5176187496751,0.0,100.0,0.0,"[(np.float64(585.5454122109659), np.float64(1005.4830297561616), np.float64(79.29159210591479)), (np.float64(2376.7891894790073), np.float64(469.25394858939484), np.float64(74.4012229881107)), (np.float64(862.4372399503216), np.float64(2341.8749160714196), np.float64(88.93989906251628)), (np.float64(2549.447485117825), np.float64(1843.351096391721), np.float64(83.63237432013088)), (np.float64(1144.5208398106129), np.float64(2251.418245868377), np.float64(84.35978445966987)), (np.float64(2340.541296387089), np.float64(548.2209223977635), np.float64(85.00799368228637))]",0.0,0.835257663341006,6,0,0,1.4362965636126355,440.29685479693677
10,24.39762455736072,1870349.799756714,207,82.0,-21363.72130120864,10.0,929.9974949015265,0.0,106.7632850241546,0.0,"[(np.float64(594.3369795842108), np.float64(1003.8591311393197), np.float64(70.21142682541594)), (np.float64(2376.2828339679527), np.float64(464.70203690264617), np.float64(83.53392850140845)), (np.float64(862.9885332854074), np.float64(2342.1092580299915), np.float64(88.05972672546199)), (np.float64(2542.247422883775), np.float64(1846.8668365962565), np.float64(83.72001490469275)), (np.float64(1140.361322338447), np.float64(2252.5669047438623), np.float64(79.70452038465145)), (np.float64(2339.926458888763), np.float64(542.821207348628), np.float64(80.33050569842243))]",-18.150000000000006,0.8347828288728283,6,0,0,1.4245034045339673,364.7177040012074
11,24.51138898214308,1900390.309243755,2,82.33333333333334,-23124.81161045241,10.0,996.946903384563,0.0,150.0,0.0,"[(np.float64(602.8113895404472), np.float64(1004.0879154448074), np.float64(69.50293906735658)), (np.float64(2380.6858334598533), np.float64(464.08022959061867), np.float64(87.03332254940935)), (np.float64(872.1429033332158), np.float64(2332.884761885952), np.float64(91.96617092262548)), (np.float64(2543.5159436607), np.float64(1846.4284523784906), np.float64(92.19850981271935)), (np.float64(1136.5099507305947), np.float64(2251.2357008955737), np.float64(82.6689605058859)), (np.float64(2331.958001776963), np.float64(547.1330082288281), np.float64(77.86485431617163))]",-18.150000000000006,0.8343086337965361,6,0,0,1.4225852288765033,371.0752693735306
12,24.51237787307869,1900527.682676459,0,82.33333333333334,-24886.039293128884,10.0,995.0514315659769,0.0,0,0.0,"[(np.float64(603.6024296734201), np.float64(1006.804453224134), np.float64(66.75707737795952)), (np.float64(2383.694505026382), np.float64(469.5008162003362), np.float64(82.18897179109892)), (np.float64(871.7297927861641), np.float64(2336.631218284295), np.float64(89.36289590978006)), (np.float64(2540.6166796035996), np.float64(1848.1615307493744), np.float64(88.19381263450798)), (np.float64(1137.2908922131542), np.float64(2239.857582084163), np.float64(84.30401520556396)), (np.float64(2333.8387343624745), np.float64(551.03145178308), np.float64(72.11651720427237))]",-18.150000000000006,0.8338370008909965,6,0,0,1.4148987166185125,373.1181250631922
13,24.5122468617707,1900398.78878384,0,82.33333333333334,-26647.13808191274,10.0,993.1605465970428,0.0,0,0.0,"[(np.float64(597.5981714679754), np.float64(1010.7033234261035), np.float64(67.92153182716697)), (np.float64(2377.433463351064), np.float64(472.2224637940632), np.float64(73.34863060781996)), (np.float64(871.9886070895438), np.float64(2327.8867871026378), np.float64(78.4410735524664)), (np.float64(2550.591542780036), np.float64(1838.260738623399), np.float64(88.11950221520424)), (np.float64(1140.0166014248334), np.float64(2234.3446651812014), np.float64(85.30573238339713)), (np.float64(2328.7106433255135), np.float64(544.0892024629821), np.float64(73.97419863294921))]",-18.150000000000006,0.8333588518133861,6,0,0,1.434447232830843,368.00834520638426
14,25.094690217697472,2128725.6193888956,4,83.66666666666667,-28636.763701301647,10.0,1157.7144918082297,0.0,150.0,0.0,"[(np.float64(601.4261031018566), np.float64(1009.749746071571), np.float64(66.63779768259349)), (np.float64(2385.0839738454865), np.float64(478.1586759319976), np.float64(70.1672244456681)), (np.float64(883.6423242543468), np.float64(2325.401677434755), np.float64(76.50252517517472)), (np.float64(2551.355808381665), np.float64(1834.4288466186722), np.float64(79.42692335970051)), (np.float64(1133.4559427572117), np.float64(2233.198104750695), np.float64(88.89102453891228)), (np.float64(2327.9618212251803), np.float64(540.2682887253134), np.float64(78.12850305189221))]",-18.150000000000006,0.8328843893342369,6,0,0,1.4233874374478621,415.4263670562502
15,24.78117312117359,2290917.412671048,195,83.33333333333334,-30769.38111397269,10.0,1162.7204480216044,0.0,103.5897435897436,0.0,"[(np.float64(604.2879390742447), np.float64(1018.409124033539), np.float64(70.63858283232328)), (np.float64(2384.522179297392), np.float64(475.0196663843341), np.float64(71.03468142769981)), (np.float64(879.9992018169414), np.float64(2333.997192910788), np.float64(79.1307084065578)), (np.float64(2549.8984607154416), np.float64(1836.2173309099953), np.float64(77.82015235987319)), (np.float64(1130.9501593318691), np.float64(2232.4817148256398), np.float64(85.28206970811058)), (np.float64(2323.8150055707156), np.float64(546.282770830599), np.float64(80.34193428311858))]",-18.150000000000006,0.8324152950826318,6,0,0,1.407282754815213,452.1948029184368
