step,avg_sinr,total_throughput,handover_count,coverage,regret,avg_load,cell_edge_rate,outage_prob,pingpong_rate,drone_handover_reduction,drone_positions,drone_rewards,avg_battery_pct,drones_active,drones_charging,drones_rtb,total_energy_consumed_wh,fleet_efficiency
0,17.220836178214686,670034.8987472916,0,73.33333333333333,0.0,5.454545454545454,22.880290645486497,0.0,0,0.0,"[(np.float64(1475.4875512074775), np.float64(848.6752220589026), np.float64(92.94204271829899)), (np.float64(1294.2043729946906), np.float64(1126.4031812400337), np.float64(81.4393867036332)), (np.float64(1747.1973827735562), np.float64(1565.7560221154654), np.float64(82.49630824284291)), (np.float64(261.9738619517615), np.float64(1763.348100456725), np.float64(63.80807497156638))]",0.0,0.7478029110465876,4,0,0,0.9237204088286485,201.4904114152865
1,12.648581484319418,346501.39818107337,0,62.5,324.0335005662189,5.454545454545454,20.08636157029131,0.0,0,0.0,"[(np.float64(1476.5913288225613), np.float64(848.4018796564314), np.float64(95.89854096985131)), (np.float64(1294.5624877331063), np.float64(1127.1209155390038), np.float64(82.800336027235)), (np.float64(1747.538661412336), np.float64(1562.507026999838), np.float64(80.59581469931749)), (np.float64(257.93180415638676), np.float64(1764.492746966584), np.float64(59.352462441564825))]",0.0,0.74733880144946,4,0,0,0.9282191942550926,103.6935984294891
2,14.388887933115543,388423.37438850716,0,76.66666666666667,606.1450249250042,5.454545454545454,22.880290645486497,0.0,0,0.0,"[(np.float64(1477.9972736686373), np.float64(850.9630766391698), np.float64(96.40852006999624)), (np.float64(1291.4866219764729), np.float64(1123.9862477052718), np.float64(82.2482047503816)), (np.float64(1745.5090981439387), np.float64(1562.6319617090082), np.float64(80.08348671237974)), (np.float64(259.041247207966), np.float64(1765.387007900127), np.float64(61.34787816028056))]",0.0,0.7468790563541057,4,0,0,0.9194901907088215,117.34261318373647
3,14.704076388798747,371856.2806955017,0,73.33333333333333,904.7736429767947,5.454545454545454,35.56125614222457,0.0,0,0.0,"[(np.float64(1478.9673140417735), np.float64(853.8808259982515), np.float64(93.45154064929875)), (np.float64(1291.9427047509157), np.float64(1123.6031943506684), np.float64(82.97887458534379)), (np.float64(1745.3875393389796), np.float64(1564.115803952905), np.float64(82.9478411463285)), (np.float64(261.30687904328204), np.float64(1769.095658336413), np.float64(61.960281752323425))]",0.0,0.7464173428237764,4,0,0,0.9234270606585042,111.85876579212068
4,12.274112192194519,310895.57543266605,0,57.49999999999999,1264.4629662914208,5.454545454545454,21.315307752354236,0.0,0,0.0,"[(np.float64(1477.6068934635382), np.float64(851.8953804911804), np.float64(92.63583369007466)), (np.float64(1289.2339236773253), np.float64(1124.6619374796514), np.float64(85.00298715578921)), (np.float64(1748.378725428955), np.float64(1564.0651247756857), np.float64(81.49786363120148)), (np.float64(260.2433077401857), np.float64(1769.094284026167), np.float64(64.5219472322725))]",0.0,0.7459559027789648,4,0,0,0.9228800896229358,93.57649280299654
5,12.854004383341502,343520.04180389765,41,66.66666666666666,1592.527823234815,5.454545454545454,25.446140400340624,0.0,134.14634146341464,0.0,"[(np.float64(1475.7653258485548), np.float64(853.3160848463342), np.float64(90.20303210936314)), (np.float64(1288.0306175450116), np.float64(1126.4972002678026), np.float64(84.30685927715867)), (np.float64(1749.2153212504281), np.float64(1563.3266894356743), np.float64(83.21732062825195)), (np.float64(258.88017627522396), np.float64(1766.0437208539136), np.float64(60.565963425296644))]",0.0,0.7454932701868902,4,0,0,0.925265184149185,103.12960594336015
6,10.889778003723544,281408.8058015098,2,63.33333333333333,1982.0539161805982,5.454545454545454,32.67684426558027,0.0,200.0,0.0,"[(np.float64(1478.7398048680398), np.float64(852.3555717555639), np.float64(90.49885654354166)), (np.float64(1284.95966530259), np.float64(1127.3414332502803), np.float64(83.53479210909423)), (np.float64(1750.227233913049), np.float64(1562.8192961317159), np.float64(83.40491596252824)), (np.float64(260.89132212686513), np.float64(1764.2846130180458), np.float64(61.606437286185965))]",0.0,0.7450346836091857,4,0,0,0.9171731554091758,85.22830423200541
7,12.365883911222314,404200.67254028964,4,65.83333333333333,2248.4881423876004,5.454545454545454,32.6172170394366,0.0,200.0,0.0,"[(np.float64(1477.6032165017984), np.float64(853.5191956410019), np.float64(90.92062600990936)), (np.float64(1284.7259286009933), np.float64(1125.5937160596177), np.float64(81.13077069620448)), (np.float64(1753.4716210721958), np.float64(1563.4887042434427), np.float64(83.79391141998171)), (np.float64(260.1072242602527), np.float64(1760.7906837852076), np.float64(62.030386631517125))]",0.0,0.7445750941637054,4,0,0,0.9191788909605504,122.15028619422864
8,12.32450882723757,485139.5094506603,8,64.16666666666667,2434.283531684232,5.454545454545454,26.39401684516203,0.0,200.0,0.0,"[(np.float64(1474.32244424175), np.float64(852.9864268875267), np.float64(90.1478705752462)), (np.float64(1284.2249015153202), np.float64(1125.3458092063888), np.float64(80.6208413111052)), (np.float64(1755.388159428462), np.float64(1555.7081691425378), np.float64(84.02124676315542)), (np.float64(260.7441415699268), np.float64(1761.7372542288665), np.float64(60.025409943507185))]",0.0,0.7441144434320827,4,0,0,0.9213014632454908,146.27239858349938
9,12.075604987042015,339429.6687325041,11,65.83333333333333,2765.98876169902,5.454545454545454,35.93842098009665,0.0,0.0,0.0,"[(np.float64(1475.4176649523647), np.float64(857.3982608817785), np.float64(91.89454788256684)), (np.float64(1283.3323531002236), np.float64(1123.572037732468), np.float64(82.01834999924831)), (np.float64(1754.9155302279369), np.float64(1554.905356847873), np.float64(85.07381531918122)), (np.float64(263.5677965290086), np.float64(1761.7989263496927), np.float64(62.26951747319482))]",0.0,0.7436529064367818,4,0,0,0.9230739906014946,102.14351184450932
10,11.788851287029555,307113.2544968386,15,63.33333333333333,3130.3604059494737,5.454545454545454,51.68741711325723,0.0,106.66666666666667,0.0,"[(np.float64(1477.0832647075888), np.float64(858.7522162458818), np.float64(89.8698752125557)), (np.float64(1282.6802442978437), np.float64(1122.90057248484), np.float64(79.7713176113711)), (np.float64(1756.0276303804837), np.float64(1550.7220142117703), np.float64(84.87030608827294)), (np.float64(259.47249681973096), np.float64(1763.7845601484892), np.float64(59.80918721297467))]",-4.87,0.7431903279646508,4,0,0,0.9251569442622831,92.21055723497622
11,11.771179093959203,349829.76054767874,2,64.16666666666667,3451.4155441490866,5.454545454545454,32.818138705569424,0.0,0.0,0.0,"[(np.float64(1475.7821036827113), np.float64(858.0750948496822), np.float64(88.75262616240168)), (np.float64(1282.058295356103), np.float64(1125.3685907226418), np.float64(79.33188101191112)), (np.float64(1759.29036598426), np.float64(1548.4573760852725), np.float64(87.80971822820557)), (np.float64(257.56572577107556), np.float64(1765.3981742299716), np.float64(58.51779651199686))]",-4.87,0.7427291637892718,4,0,0,0.9223283507579777,105.35828526316804
12,12.080179408814358,350908.3310665992,6,65.83333333333333,3771.6921118297796,5.454545454545454,40.337543117486426,0.0,133.33333333333331,0.0,"[(np.float64(1475.6927248703157), np.float64(856.7851848335215), np.float64(89.41893586904902)), (np.float64(1286.1109183131218), np.float64(1123.5154125457857), np.float64(78.99914995271483)), (np.float64(1761.407085220994), np.float64(1550.8928908268622), np.float64(87.6780599425815)), (np.float64(256.6363434689324), np.float64(1767.581626619048), np.float64(59.650021255129246))]",-4.87,0.7422700857639981,4,0,0,0.9181560505474538,106.16336552949701
13,14.170741445436557,450582.94166457216,9,65.83333333333333,3991.7940689125007,5.454545454545454,39.23517529502303,0.0,44.44444444444444,0.0,"[(np.float64(1473.2633927821614), np.float64(858.2918920303398), np.float64(91.04642793658958)), (np.float64(1284.2166525695943), np.float64(1121.6726147429383), np.float64(80.21371890469636)), (np.float64(1760.5487297890168), np.float64(1553.411170869483), np.float64(85.90601502277842)), (np.float64(256.52085282510114), np.float64(1766.3107446376935), np.float64(57.25219506010146))]",-4.87,0.7418085060644535,4,0,0,0.9231593990891467,135.5799749898581
14,10.629138122219809,401152.123245606,28,64.16666666666667,4262.926844414188,5.454545454545454,33.33517174938285,0.0,157.14285714285714,0.0,"[(np.float64(1476.4457203147217), np.float64(859.0799312973799), np.float64(91.07755510160827)), (np.float64(1285.1584015962596), np.float64(1119.3410274215528), np.float64(81.86417115837541)), (np.float64(1765.0859230384433), np.float64(1554.5778891760042), np.float64(89.18459845854169)), (np.float64(260.39874690820614), np.float64(1767.261117593373), np.float64(59.5600746094887))]",-4.87,0.7413446516621,4,0,0,0.9277088047068065,120.1143556907584
15,10.592771221627773,409559.16501445015,6,64.16666666666667,4524.5525781470305,5.454545454545454,29.41137910026081,0.0,166.66666666666669,0.0,"[(np.float64(1479.6146770578862), np.float64(858.8164676651171), np.float64(89.7973897571275)), (np.float64(1281.6489556809952), np.float64(1117.6237027547163), np.float64(81.86032250052595)), (np.float64(1767.53839754766), np.float64(1551.8262970876224), np.float64(88.36548692838842)), (np.float64(259.6903935892463), np.float64(1768.3789283872602), np.float64(61.07587859819268))]",-4.87,0.740884320636316,4,0,0,0.9206620515679338,123.5702444045415
