step,avg_sinr,total_throughput,handover_count,coverage,regret,avg_load,cell_edge_rate,outage_prob,pingpong_rate,drone_handover_reduction,drone_positions,drone_rewards,avg_battery_pct,drones_active,drones_charging,drones_rtb,total_energy_consumed_wh,fleet_efficiency
0,26.23188595413047,248875.9249245651,0,81.66666666666667,0.0,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(635.5994665593553), np.float64(1748.2600656195527), np.float64(97.81335566993423)), (np.float64(1721.7655070775063), np.float64(2490.1817709401926), np.float64(58.06738703217062)), (np.float64(667.6109356328207), np.float64(938.061094916148), np.float64(33.74721926508045)), (np.float64(1577.8168934791868), np.float64(548.5656667058173), np.float64(49.5090386710449)), (np.float64(2095.9416626566604), np.float64(2309.546153544221), np.float64(109.7959850051275)), (np.float64(528.1476633371569), np.float64(1601.8260119876911), np.float64(115.07964455734076))]",0.0,0.8282857286115823,6,0,0,1.391599480938403,49.67823164271128
1,25.122679218337577,127560.91459004743,0,82.0,121.76501033451757,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(635.3584133220147), np.float64(1749.1840159395238), np.float64(100.10955902524539)), (np.float64(1726.5105710373575), np.float64(2490.6150169321427), np.float64(60.73264142906232)), (np.float64(665.1047610038664), np.float64(939.5486833519965), np.float64(30.813772552100883)), (np.float64(1572.809560118975), np.float64(550.3438782739802), np.float64(49.971719133134606)), (np.float64(2095.30754507958), np.float64(2305.4518226918076), np.float64(111.63728139316707)), (np.float64(526.4705372721731), np.float64(1600.9729057981806), np.float64(112.72265007038853))]",0.0,0.8278215899905675,6,0,0,1.3924158630442294,25.447560837648084
2,25.167069645933793,160222.94540735346,0,80.66666666666666,210.81798985172895,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(634.6463975376095), np.float64(1748.8010875230698), np.float64(99.13604731925703)), (np.float64(1726.166711569703), np.float64(2491.514794315356), np.float64(58.73700130320945)), (np.float64(661.006207516065), np.float64(939.1980468462576), np.float64(34.259432705812955)), (np.float64(1571.568671409068), np.float64(550.8178891309469), np.float64(46.909159145357876)), (np.float64(2096.2189291908676), np.float64(2306.6878070597895), np.float64(110.49390684365605)), (np.float64(524.4103208145656), np.float64(1597.523526741714), np.float64(110.73553725523438))]",0.0,0.8273594288426972,6,0,0,1.3864834436110471,32.10018405149474
3,25.675548651026062,170253.5457087615,0,82.0,289.6903690675323,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(632.3146205245566), np.float64(1749.1375190267204), np.float64(98.75497174619012)), (np.float64(1724.7359092619508), np.float64(2493.033140581732), np.float64(56.388778634587155)), (np.float64(660.576482798134), np.float64(942.6218284095086), np.float64(33.42420550936992)), (np.float64(1573.718903284604), np.float64(550.3714582520416), np.float64(41.71019530334252)), (np.float64(2098.815060832856), np.float64(2305.8431659623834), np.float64(106.79280961462662)), (np.float64(524.9891409910638), np.float64(1596.2781220970146), np.float64(111.56732557394925))]",0.0,0.8268965530157488,6,0,0,1.3886274808453585,34.05711916127183
4,25.245154095915275,167200.33356868647,0,81.0,371.7659604234108,10.0,5.698219890531511,0.0,0,0.0,"[(np.float64(630.6494932698637), np.float64(1746.8102418264089), np.float64(97.90273934037106)), (np.float64(1726.0808518279152), np.float64(2487.810258918572), np.float64(59.064568157695014)), (np.float64(661.1364357315617), np.float64(944.2627758875205), np.float64(32.143450206076615)), (np.float64(1576.9405148810563), np.float64(549.4171607972601), np.float64(41.0359085060647)), (np.float64(2100.1802300400964), np.float64(2307.875268021663), np.float64(107.73776572536995)), (np.float64(523.9254512487558), np.float64(1595.1359857825053), np.float64(111.40660732660696))]",0.0,0.8264359033537815,6,0,0,1.3819489859018659,33.60799680467438
5,22.966121786143074,141083.02991107188,238,76.33333333333333,501.0088554369038,10.0,6.216102747913885,0.0,115.12605042016806,0.0,"[(np.float64(630.2543533686946), np.float64(1747.0137204926336), np.float64(99.71644795022793)), (np.float64(1727.4239690521108), np.float64(2485.7116916938257), np.float64(57.01425081440011)), (np.float64(657.6942857449993), np.float64(947.0865679675153), np.float64(32.05831917022363)), (np.float64(1577.594430690414), np.float64(549.2536864815357), np.float64(43.06616462474063)), (np.float64(2103.381135256889), np.float64(2311.0548970835125), np.float64(107.4149273529926)), (np.float64(527.8225009019984), np.float64(1591.8113172055057), np.float64(110.510541164666))]",0.0,0.8259748773087551,6,0,0,1.383078135079384,28.335152972831825
6,23.136719775989484,136953.6499123003,5,76.33333333333333,614.2311304491686,10.0,6.216102747913885,0.0,200.0,0.0,"[(np.float64(628.5510247919622), np.float64(1749.0159182189861), np.float64(97.65044268788373)), (np.float64(1727.1578119957062), np.float64(2485.904613578378), np.float64(54.35317387074139)), (np.float64(654.9907961244023), np.float64(948.9540332868378), np.float64(32.02900784051269)), (np.float64(1578.9197068360606), np.float64(551.3859571444942), np.float64(42.078547124725816)), (np.float64(2101.96702235346), np.float64(2311.6440213186233), np.float64(105.85346762148468)), (np.float64(529.1874125006999), np.float64(1586.5150392188584), np.float64(113.31191965069685))]",0.0,0.8255130440404503,6,0,0,1.385499804914157,27.45773070213574
7,23.5262710743994,199372.1075898307,4,78.66666666666666,664.984947783903,10.0,6.216102747913885,0.0,200.0,0.0,"[(np.float64(626.9465280024915), np.float64(1748.3500738806883), np.float64(97.88481681928648)), (np.float64(1728.227307181864), np.float64(2482.8154011381134), np.float64(51.84786216324748)), (np.float64(653.9109817040584), np.float64(949.8836663469516), np.float64(31.483723348525785)), (np.float64(1578.54007015108), np.float64(550.6598803097454), np.float64(45.476776756074166)), (np.float64(2102.5247815628754), np.float64(2312.528326361499), np.float64(102.2481508964602)), (np.float64(531.4254203387125), np.float64(1582.4506885671458), np.float64(115.78619758749338))]",0.0,0.8250507642932732,6,0,0,1.3868392415315955,39.93335300781759
8,23.172344004115004,134084.58814700486,7,76.66666666666667,781.3762845614631,10.0,6.216102747913885,0.0,200.0,0.0,"[(np.float64(623.5083486146781), np.float64(1745.5515559670782), np.float64(98.98173196950079)), (np.float64(1727.2191741294348), np.float64(2481.1329641944913), np.float64(52.208235421082705)), (np.float64(653.6716962541949), np.float64(952.0198026638599), np.float64(30.0)), (np.float64(1580.101238835361), np.float64(550.7828280775459), np.float64(47.869384557346336)), (np.float64(2102.0711336442914), np.float64(2313.0817028158967), np.float64(104.18735508171206)), (np.float64(532.176073592324), np.float64(1582.84034496433), np.float64(117.80333938890098))]",0.0,0.824590443571751,6,0,0,1.3809621645662844,26.9708467656833
9,23.13474326483904,195489.92703480934,3,75.0,835.9622824512187,10.0,6.216102747913885,0.0,0.0,0.0,"[(np.float64(625.3663243828438), np.float64(1746.1444853990774), np.float64(96.07081388276258)), (np.float64(1727.2369512520374), np.float64(2481.4213102784674), np.float64(57.027536650689136)), (np.float64(653.9583674535885), np.float64(953.6122632505321), np.float64(31.17219288382341)), (np.float64(1579.3510779988987), np.float64(547.3960426004256), np.float64(49.63426818358879)), (np.float64(2102.1136231223923), np.float64(2309.7466486455446), np.float64(103.40256463520727)), (np.float64(533.2491447561522), np.float64(1579.0305225878647), np.float64(117.83868630679113))]",0.0,0.8241282865665692,6,0,0,1.3864710155450268,39.16616856813458
10,20.919303315587026,181497.42202301903,217,72.33333333333334,923.0407853527645,10.0,7.175085094490663,0.0,116.58986175115207,0.0,"[(np.float64(626.2532681682854), np.float64(1744.1919390813364), np.float64(93.76794841976692)), (np.float64(1728.3670555803244), np.float64(2478.6871777634474), np.float64(58.00844554726085)), (np.float64(653.3644996926204), np.float64(956.5312375924035), np.float64(31.593151088998834)), (np.float64(1580.9992190839844), np.float64(549.8464333662686), np.float64(49.27026683868512)), (np.float64(2105.6715253240795), np.float64(2310.486206281309), np.float64(101.09527639410965)), (np.float64(531.5193244647194), np.float64(1577.2335981332142), np.float64(114.70982208989517))]",-20.78589974414024,0.8236663408520938,6,0,0,1.3858371434275507,36.37941932863585
