step,avg_sinr,total_throughput,handover_count,coverage,regret,avg_load,cell_edge_rate,outage_prob,pingpong_rate,drone_handover_reduction,drone_positions,drone_rewards,avg_battery_pct,drones_active,drones_charging,drones_rtb,total_energy_consumed_wh,fleet_efficiency
0,24.618483868970007,512276.08833410754,0,80.33333333333333,0.0,10.0,6.918907427911034,0.0,0,0.0,"[(np.float64(633.2337991298247), np.float64(1750.2766380016276), np.float64(93.41240263123528)), (np.float64(1437.3243032560622), np.float64(1654.2199509790064), np.float64(36.232371569266775)), (np.float64(947.3349247280846), np.float64(1725.8804443295112), np.float64(111.17053334273129)), (np.float64(1418.131179693165), np.float64(2260.0666763052677), np.float64(37.75758266886018)), (np.float64(2314.775392428108), np.float64(748.7422666643954), np.float64(107.83460027338424)), (np.float64(2233.477390263529), np.float64(1082.377859378167), np.float64(55.30703611601724))]",0.0,0.8569412013937594,6,0,0,1.3855838742563638,102.69960272344547
1,21.57175239265208,180577.22355046956,0,71.66666666666667,332.7488647836386,10.0,6.918907427911034,0.0,0,0.0,"[(np.float64(632.7196909527912), np.float64(1752.9160863340903), np.float64(93.31575834419762)), (np.float64(1436.7528762846348), np.float64(1658.3203921766133), np.float64(36.71711030661366)), (np.float64(945.7185746059375), np.float64(1728.849614402374), np.float64(110.72128678999184)), (np.float64(1420.8139783643385), np.float64(2260.220946634853), np.float64(38.73433613350944)), (np.float64(2314.437184974593), np.float64(748.2170363622266), np.float64(107.13743830775368)), (np.float64(2235.4138548499304), np.float64(1082.865384388367), np.float64(56.719559594764945))]",0.0,0.8564822068560397,6,0,0,1.3769836131587632,36.427695577338035
2,22.034906644345725,189894.57041724693,0,73.0,656.0303827004999,10.0,6.918907427911034,0.0,0,0.0,"[(np.float64(631.1021837968492), np.float64(1754.232451119332), np.float64(92.95592604521899)), (np.float64(1434.6723764949463), np.float64(1659.5821122012226), np.float64(37.42403684924153)), (np.float64(949.7434342999966), np.float64(1728.4217005909677), np.float64(111.34383555181165)), (np.float64(1421.4488585548577), np.float64(2257.4264626471177), np.float64(39.95086138555771)), (np.float64(2315.657670633609), np.float64(751.9838287358538), np.float64(107.43909831536438)), (np.float64(2236.9212587644956), np.float64(1082.247500220507), np.float64(56.94168709986027))]",0.0,0.8560231133466933,6,0,0,1.3772805280388267,38.29901803496751
3,22.17741204813195,197843.3616813359,0,74.0,971.4131093532719,10.0,6.918907427911034,0.0,0,0.0,"[(np.float64(629.774607812359), np.float64(1755.8214681038787), np.float64(95.68111199289858)), (np.float64(1436.2956273677335), np.float64(1655.23895430163), np.float64(36.45801181302794)), (np.float64(950.3459382646612), np.float64(1731.5173990959813), np.float64(112.80726830874276)), (np.float64(1421.2703238620977), np.float64(2256.497995893005), np.float64(42.52999939266012)), (np.float64(2320.2617170569238), np.float64(749.9548937685906), np.float64(106.03040188849201)), (np.float64(2236.735303489389), np.float64(1085.0004056401506), np.float64(56.17584826772819))]",0.0,0.8555605825724423,6,0,0,1.3875923227534441,39.60564529996441
4,22.176050161054178,295858.4553669807,0,74.33333333333333,1188.6807423203995,10.0,6.918907427911034,0.0,0,0.0,"[(np.float64(629.5077057233457), np.float64(1758.614440874529), np.float64(91.51024686547287)), (np.float64(1435.057847202118), np.float64(1655.6391694703775), np.float64(34.15094206329959)), (np.float64(950.8813976977609), np.float64(1734.087681089847), np.float64(112.21848320248404)), (np.float64(1423.9659040887245), np.float64(2254.3063090505425), np.float64(40.75795319134314)), (np.float64(2322.0610797194136), np.float64(746.8835855921387), np.float64(103.9606725508408)), (np.float64(2233.4159621237095), np.float64(1083.738787023697), np.float64(54.167576776313844))]",0.0,0.8550970145949816,6,0,0,1.390703932382364,59.094464576526526
5,18.960882644052194,224139.57607829032,206,67.66666666666666,1496.2672545762173,10.0,7.800891775429064,0.0,120.3883495145631,0.0,"[(np.float64(629.1673580485528), np.float64(1757.6433945246044), np.float64(94.58447821443737)), (np.float64(1437.2175759146767), np.float64(1653.8206498446687), np.float64(34.079877293965104)), (np.float64(949.6593994956986), np.float64(1730.9460267242946), np.float64(112.73227066282656)), (np.float64(1421.696915329595), np.float64(2256.8815157613944), np.float64(42.87771205680979)), (np.float64(2322.658535106993), np.float64(748.5439409735068), np.float64(103.11935418481977)), (np.float64(2234.5146510508525), np.float64(1082.9648936941455), np.float64(55.63172825064717))]",0.0,0.8546366707614541,6,0,0,1.3810315005818996,45.08296395038556
6,19.432896039466364,228704.03479954993,5,68.66666666666667,1781.9893081107757,10.0,7.800891775429064,0.0,200.0,0.0,"[(np.float64(627.0538826162377), np.float64(1758.9697506291727), np.float64(96.55210592212985)), (np.float64(1436.3729825942137), np.float64(1650.6045817652273), np.float64(36.31193690956824)), (np.float64(948.9790624953864), np.float64(1730.2147784785952), np.float64(111.10587187791802)), (np.float64(1422.0296045139241), np.float64(2259.668949798846), np.float64(42.52561496519514)), (np.float64(2323.909291570353), np.float64(747.4224749338522), np.float64(102.06906905014282)), (np.float64(2232.464219029922), np.float64(1084.2127736282384), np.float64(52.92098012542571))]",0.0,0.8541754841234345,6,0,0,1.383559914058987,45.91698408567946
7,18.589923027805877,183916.8855740712,0,67.0,2112.598510870812,10.0,7.800891775429064,0.0,0,0.0,"[(np.float64(626.04463485323), np.float64(1758.4899642817666), np.float64(97.87412691054693)), (np.float64(1436.2569347511974), np.float64(1652.2549952875831), np.float64(38.00702958099133)), (np.float64(950.3027288622367), np.float64(1729.291188810785), np.float64(111.47686381896395)), (np.float64(1421.6544462371598), np.float64(2260.5578566345703), np.float64(39.22379386357283)), (np.float64(2326.7154302332156), np.float64(749.5069259898776), np.float64(100.99538217180103)), (np.float64(2228.587572773542), np.float64(1087.0369505480558), np.float64(52.54119162022667))]",0.0,0.8537151466003126,6,0,0,1.381012569366346,36.99316349743015
8,20.050966957879908,209010.6127213677,7,70.66666666666667,2417.863986483552,10.0,7.800891775429064,0.0,200.0,0.0,"[(np.float64(624.7832071358982), np.float64(1758.5385430893832), np.float64(100.0941172536846)), (np.float64(1434.3248826106028), np.float64(1657.5284405604955), np.float64(38.78122390469669)), (np.float64(950.0139297334268), np.float64(1731.2612544563854), np.float64(111.32029123413771)), (np.float64(1426.2762474641606), np.float64(2257.299998900092), np.float64(38.03506485372954)), (np.float64(2324.955970385954), np.float64(751.0360239977836), np.float64(101.89526070627333)), (np.float64(2231.9698076993304), np.float64(1090.0151268809375), np.float64(53.52437223176251))]",0.0,0.8532535541403353,6,0,0,1.3847773799311236,41.926236213217884
9,19.298379383812954,197981.4323754927,19,71.0,2735.258642442167,10.0,7.800891775429064,0.0,0.0,0.0,"[(np.float64(625.4258874441109), np.float64(1758.927529258129), np.float64(102.66521713271929)), (np.float64(1434.038941491342), np.float64(1657.8332369898133), np.float64(40.12030451688062)), (np.float64(947.3255603626841), np.float64(1731.348713172136), np.float64(109.29449842691903)), (np.float64(1423.0334853639772), np.float64(2254.2899031351963), np.float64(40.459043328709136)), (np.float64(2325.6148603721945), np.float64(752.0339653550436), np.float64(104.51130961654069)), (np.float64(2229.3805129029065), np.float64(1090.9969782782057), np.float64(52.74708037519215))]",0.0,0.8527919326662879,6,0,0,1.384864422142487,39.71135473423794
